%# net.balmeyer.qno.dico.DictionaryCSV					
texte	type	groupe	pluriel	feminin	femininpluriel
saoudien	nm				
saoul	null				
saper	v				
sapeur-pompier	nm				
saphir	nm				
sapide	adj				
sapin	nm				
sapinière	nf				
sapon-	null				
saponification	nf				
saponifier	v				
sapristi !	null				
sarabande	nf				
sarbacane	nf				
sarcasme	nm				
sarcastique	adj				
sarcelle	nf				
sarclage	nm				
sarcler	v				
sarcome	nm				
sarcophage	nm				
sardine	nf				
sardonique	adj				
sari	nm				
sarigue	nf				
S.A.R.L.	null				
sarment	nm				
sarrasin	nm				
sarrau	nm				
sas	nm				
sassafras	nm				
satané	adj				
satanique	adj				
satanisme	nm				
satellite	nm				
satiété	nf				
satin	nm				
satiné	adj				
satiner	v				
satire	nf				
satirique	adj				
satisfaction	nf				
satisfaire	v				
satisfaisant	adj				
satisfait	adj				
saturation	nf				
saturer	v				
saturnisme	nm				
satyre	nm				
sauce	nf				
saucer	v				
saucière	nf				
saucisse	nf				
saucisson	nm				
sauf	null				
sauf	adj				
sauf-conduit	nm				
sauge	nf				
saugrenu	adj				
saulaie	nf				
saule	nm				
saumâtre	adj				
saumon	nm				
saumoné	adj				
saumoneau	nm				
sauna	nm				
saupoudrer	v				
saur	adj				
-saure	null				
saut	nm				
saut-de-lit	nm				
saute	nf				
sauté	nm				
saute-mouton	nm				
sauter	v				
sauterelle	nf				
sauterie	nf				
sauternes	nm				
sautillement	nm				
sautiller	vi				
sautoir	nm				
sauvage	adj				
sauvagement	adj				
sauvagerie	nf				
sauvegarde	nf				
sauvegarder	v				
sauve-qui-peut	nm				
sauver	v				
sauvetage	nm				
sauveteur	nm				
sauvette (à la)	adj				
sauveur	nm				
savamment	adj				
savane	nf				
savant	nm				
savant	adj				
savarin	nm				
savate	nf				
saveur	nf				
savoir	v				
savoir	nm				
savoir-faire	nm				
savoir-vivre	nm				
savon	nm				
savonnage	nm				
savonner	v				
savonnette	nf				
savonneux	adj				
savourer	v				
savoureux	adj				
savoyard	nm				
saxophone	nm				
saxophoniste	nm				
saynète	nf				
Sb	null				
sbire	nm				
sc-	null				
sc.	null				
scabreux	adj				
scalpel	nm				
scandale	nm				
scandaleux	adj				
scandaliser	v				
scander	v				
scandinave	nm				
scanner	nm				
scanographie	nf				
scaphandre	nm				
scaphandrier	nm				
scarabée	nm				
scarlatine	nf				
scato-	null				
scatologie	nf				
scatologique	adj				
sceau	nm				
scelérat	nm				
scelératesse	nf				
scellé	nm				
scellement	nm				
sceller	v				
scenario	nm				
scenariste	nm				
scene	nf				
scenique	adj				
scepticisme	nm				
sceptique	nm				
sceptre	nm				
schah	null				
schapska	null				
scheik	null				
schelem	null				
schema	nm				
schematique	adj				
schematiquement	adj				
schematisation	nf				
schematiser	v				
scheme	nm				
schilling	nm				
schisme	nm				
schiste	nm				
schizo-	null				
schizophrène	nm				
schizophrénie	nf				
schuss	nm				
sciage	nm				
scie	nf				
sciemment	adj				
science	nf				
science-fiction	nf				
scientifique	nm				
scientifiquement	adj				
scier	v				
scierie	nf				
scinder	v				
scintillant	adj				
scintillement	nm				
scintiller	vi				
scission	nf				
sciure	nf				
scler(o)-	null				
sclerose	nf				
sclerosé	adj				
scleroser (se)	null				
scolaire	adj				
scolarisation	nf				
scolariser	v				
scolarité	nf				
scoop	nm				
scooter	nm				
-scope	null				
scorbut	nm				
score	nm				
scorie	nf				
scorpion	nm				
scotch	nm				
scottish-terrier	nm				
scout	nm				
scoutisme	nm				
scrabble	nm				
scribe	nm				
script	nm				
script	nm				
scriptural	adj				
scrupule	nm				
scrupuleusement	adj				
scrupuleux	adj				
scrutateur	nm				
scruter	v				
scrutin	nm				
sculpter	v				
sculpteur	nm				
sculptural	adj				
sculpture	nf				
scythe	nm				
s.d.	null				
se	null				
seance	nf				
seant	nm				
seant	adj				
seau	nm				
sebacé	adj				
sebile	nf				
seborrhée	nf				
sebum	nm				
sec	adj				
secateur	nm				
secession	nf				
sechage	nm				
seche-cheveux	nm				
seche-linge	nm				
sechement	adj				
secher	v				
secheresse	nf				
sechoir	nm				
second	adj				
secondaire	nm				
seconde	nf				
seconder	v				
secouer	v				
secourir	v				
secourisme	nm				
secouriste	nm				
secours	nm				
secousse	nf				
secret	nm				
secrétaire	nm				
secrétaire	nm				
secrétariat	nm				
secrètement	adj				
secréter	v				
secrétion	nf				
sectaire	adj				
secte	nf				
secteur	nm				
section	nf				
sectionnement	nm				
sectionner	v				
sectoriel	adj				
seculaire	adj				
secularisation	nf				
seculariser	v				
seculier	nm				
secundo	adj				
securisant	adj				
securiser	v				
securitaire	adj				
securité	nf				
sedatif	nm				
sedentaire	adj				
sediment	nm				
sedimentaire	adj				
sedimentation	nf				
seditieux	adj				
sedition	nf				
seducteur	nm				
seduction	nf				
seduire	v				
seduisant	adj				
segment	nm				
segmenter	v				
segrégation	nf				
seiche	nf				
seigle	nm				
seigneur	nm				
seigneurial	adj				
seigneurie	nf				
sein	nm				
seing	nm				
seisme	nm				
seismique	null				
seismographe	null				
seismologie	null				
seize	nm				
seizième	nm				
seizièmement	adj				
sejour	nm				
sejourner	vi				
sel	nm				
select	adj				
selectif	adj				
selection	nf				
selectionner	v				
selectivement	adj				
self-control	nm				
self-made man	nm				
self-service	nm				
selle	nf				
seller	v				
sellerie	nf				
sellette	nf				
sellier	nm				
selon	null				
semailles	nf				
semaine	nf				
semanticien	nm				
semantique	nf				
semaphore	nm				
semasiologie	nf				
semblable	nm				
semblant	nm				
sembler	vi				
seme	nm				
semelle	nf				
semence	nf				
semer	v				
semestre	nm				
semestriel	adj				
semestriellement	adj				
semeur	nm				
semi-	null				
semi-automatique	adj				
semi-circulaire	adj				
semi-fini	adj				
semillant	adj				
seminaire	nm				
seminal	adj				
seminariste	nm				
semio-	null				
semiologie	nf				
semiologique	adj				
semioticien	nm				
semiotique	nf				
semi-ouvré	adj				
semi-remorque	nm				
semis	nm				
semite	nm				
semitique	adj				
semonce	nf				
semoncer	v				
semoule	nf				
sempiternel	adj				
sempiternellement	adj				
senat	nm				
senateur	nm				
senegalais	nm				
senile	adj				
senilité	nf				
sens	nm				
sensation	nf				
sensationnel	nm				
sensé	adj				
sensément	adj				
sensibilisation	nf				
sensibiliser	v				
sensibilité	nf				
sensible	adj				
sensiblement	adj				
sensiblerie	nf				
sensitif	adj				
sensitive	nf				
sensoriel	adj				
sensualité	nf				
sensuel	adj				
sentence	nf				
sentencieusement	adj				
sentencieux	adj				
senteur	nf				
sentier	nm				
sentiment	nm				
sentimental	adj				
sentimentalement	adj				
sentimentalité	nf				
sentinelle	nf				
sentir	v				
seoir	null				
sepale	nm				
separation	nf				
separatisme	nm				
separatiste	nm				
separément	adj				
separer	v				
sepia	nf				
sept	nm				
septembre	nm				
septennal	adj				
septennat	nm				
septentrional	adj				
septicémie	nf				
septième	nm				
septièmement	adj				
septique	adj				
septuagénaire	nm				
septuor	nm				
septuple	nm				
septupler	v				
sepulcral	adj				
sepulcre	nm				
sepulture	nf				
sequelle	nf				
sequence	nf				
sequentiel	adj				
sequestration	nf				
sequestre	nm				
sequestrer	v				
sequoia	nm				
serail	nm				
seraphin	nm				
serbo-croate	nm				
serein	adj				
sereinement	adj				
serenade	nf				
serenité	nf				
serf	nm				
sergent	nm				
serici-	null				
sericicole	adj				
sericiculteur	nm				
sericiculture	nf				
serie	nf				
seriel	adj				
serieusement	adj				
serieux	nm				
serigraphie	nf				
serin	nm				
seriner	v				
seringa	nm				
seringue	nf				
serment	nm				
sermon	nm				
sermonner	v				
seropositif	nm				
serpe	nf				
serpent	nm				
serpenter	vi				
serpentin	nm				
serpillière	nf				
serre	nf				
serré	adj				
serre-livres	nm				
serrement	nm				
serrer	v				
serre-tête	nm				
serrure	nf				
serrurerie	nf				
serrurier	nm				
sertir	v				
sertissage	nm				
serum	nm				
servante	nf				
serveur	nm				
serviabilité	nf				
serviable	adj				
service	nm				
serviette	nf				
servile	adj				
servilement	adj				
servilité	nf				
servir	v				
serviteur	nm				
servitude	nf				
servo-	null				
servocommande	nf				
servodirection	nf				
servofrein	nm				
ses	adj				
sesame	nm				
session	nf				
sesterce	nm				
set	nm				
seuil	nm				
seul	nm				
seulement	adj				
seve	nf				
severe	adj				
severement	adj				
severité	nf				
sevices	nm				
sevir	vi				
sevrage	nm				
sevrer	v				
sexagénaire	nm				
sexagésimal	adj				
sex-appeal	nm				
sexe	nm				
sexisme	nm				
sexiste	nm				
sexologie	nf				
sexologue	nm				
sextant	nm				
sextuor	nm				
sextuple	nm				
sextupler	v				
sexualité	nf				
sexué	adj				
sexuel	adj				
sexuellement	adj				
sexy	adj				
seyant	adj				
shah	null				
shampooing	nm				
shampouiner	v				
shampouineur	nm				
shantung	nm				
shekel	nm				
sherif	nm				
sherpa	nm				
sherry	nm				
shetland	nm				
shilling	nm				
shogun	nm				
shooter	vi				
shopping	nm				
short	nm				
show	nm				
show-business	nm				
SI	null				
Si	null				
si	nm				
siamois	nm				
siberien	adj				
sibylle	nf				
sibyllin	adj				
sic	adj				
S.I.C.A.V.  n. f.	null				
sicilien	nm				
SIDA	nm				
sidatique	nm				
sideen	nm				
sideral	adj				
siderer	v				
siderurgie	nf				
siderurgique	adj				
siecle	nm				
siege	nm				
sieger	vi				
siemens	nm				
sien	nm				
sierra	nf				
sieste	nf				
sieur	nm				
sifflant	nf				
sifflement	nm				
siffler	v				
sifflet	nm				
sifflotement	nm				
siffloter	v				
siglaison	nf				
sigle	nm				
sigma	nm				
sigmoïde	adj				
signal	nm				
signalement	nm				
signaler	v				
signalétique	adj				
signalisation	nf				
signaliser	v				
signataire	nm				
signature	nf				
signe	nm				
signer	v				
signet	nm				
signifiant	nm				
significatif	adj				
signification	nf				
signifié	nm				
signifier	v				
sikh	nm				
silence	nm				
silencieusement	adj				
silencieux	nm				
silex	nm				
silhouette	nf				
silice	nf				
silicium	nm				
silicone	nf				
sillage	nm				
sillon	nm				
sillonner	v				
silo	nm				
s'il vous plaît	null				
simagrées	nf				
simiesque	adj				
similaire	adj				
similarité	nf				
simili	nm				
simil(i)-	null				
similitude	nf				
simoun	nm				
simple	adj				
simplement	adj				
simplet	nm				
simplicité	nf				
simplificateur	adj				
simplification	nf				
simplifier	v				
simplisme	nm				
simpliste	adj				
simulacre	nm				
simulateur	nm				
simulation	nf				
simuler	v				
simultané	adj				
simultanéité	nf				
simultanément	adj				
sincère	adj				
sincèrement	adj				
sincérité	nf				
sinecure	nf				
sine die	adj				
sine qua non	adj				
singe	nm				
singer	v				
singerie	nf				
singulariser	v				
singularité	nf				
singulier	nm				
sinistre	nm				
sinistré	nm				
sino-	null				
sinologie	nf				
sinologue	nm				
sinon	null				
sinueux	adj				
sinuosité	nf				
sinus	nm				
sinusite	nf				
sioux	nm				
siphon	nm				
siphonner	v				
sir	nm				
sire	nm				
sirene	nf				
sirocco	nm				
sirop	nm				
siroter	v				
sirupeux	adj				
sis	adj				
sismique	adj				
sismographe	nm				
sismologie	nf				
sitar	nm				
site	nm				
sitot	adj				
situation	nf				
six	nm				
sixième	nm				
sixièmement	adj				
skateboard	nm				
sketch	nm				
ski	nm				
skier	vi				
skieur	nm				
skipper	nm				
s.l.	null				
slalom	nm				
slang	nm				
slave	nm				
slip	nm				
s.l.n.d.	null				
slogan	nm				
smog	nm				
smoking	nm				
snack-bar	nm				
snob	nm				
snober	v				
snobinard	nm				
snobisme	nm				
s.o.	null				
sobre	adj				
sobrement	adj				
sobriété	nf				
sobriquet	nm				
soc	nm				
sociabilité	nf				
sociable	adj				
social	nm				
socialement	adj				
socialisme	nm				
socialiste	nm				
sociétaire	nm				
société	nf				
socio-	null				
socioculturel	adj				
socio-économique	adj				
sociolinguiste	nm				
sociolinguistique	nf				
sociologie	nf				
sociologique	adj				
sociologue	nm				
socioprofessionnel	adj				
socle	nm				
socque	nm				
socquette	nf				
soda	nm				
sodium	nm				
sodomie	nf				
sodomiser	v				
soeur	nf				
soeurette	nf				
sofa	nm				
software	nm				
soi	nm				
soi-disant	adj				
soie	nf				
soierie	nf				
soif	nf				
soigné	adj				
soigner	v				
soigneusement	adj				
soigneux	adj				
soin	nm				
soir	nm				
soirée	nf				
soit	adj				
soixantaine	nf				
soixante	nm				
soixante-dix	nm				
soixante-dixième	nm				
soixantième	nm				
soja	nm				
sol	nm				
solaire	adj				
solarium	nm				
soldat	nm				
solde	nm				
solder	v				
sole	nf				
solecisme	nm				
soleil	nm				
solennel	adj				
solennellement	adj				
solennité	nf				
solidaire	adj				
solidairement	adj				
solidariser (se)	null				
solidarité	nf				
solide	nm				
solidement	adj				
solidifier	v				
solidité	nf				
soliloque	nm				
soliloquer	vi				
soliste	nm				
solitaire	nm				
solitude	nf				
solive	nf				
soliveau	nm				
sollicitation	nf				
solliciter	v				
sollicitude	nf				
solo	nm				
solstice	nm				
soluble	adj				
soluté	nm				
solution	nf				
solutionner	v				
solvabilité	nf				
solvable	adj				
solvant	nm				
somali	nm				
sombre	adj				
sombrer	vi				
sombrero	nm				
-some	null				
sommaire	nm				
sommairement	adj				
sommation	nf				
somme	nm				
sommeil	nm				
sommeiller	vi				
sommelier	nm				
sommer	v				
sommet	nm				
sommier	nm				
sommité	nf				
somnambule	nm				
somnambulisme	nm				
somnifère	nm				
somnolence	nf				
somnolent	adj				
somnoler	vi				
somptuaire	adj				
somptueusement	adj				
somptueux	adj				
somptuosité	nf				
son	adj				
son	nm				
sonar	nm				
sonate	nf				
sonatine	nf				
sondage	nm				
sonde	nf				
sonder	v				
sondeur	nm				
Son Éminence	null				
Son Excellence	null				
songe	nm				
songer	v				
songeur	adj				
sonique	adj				
sonnant	adj				
sonner	v				
sonnerie	nf				
sonnet	nm				
sonnette	nf				
sono	nf				
sonore	nf				
sonorisation	nf				
sonoriser	v				
sonorité	nf				
sonothèque	nf				
sophisme	nm				
sophistication	nf				
sophistiqué	adj				
soporifique	nm				
soprano	nm				
sorbet	nm				
sorbetière	nf				
sorbier	nm				
sorcellerie	nf				
sorcier	nm				
sordide	adj				
sornette	nf				
sort	nm				
sortable	adj				
sortant	adj				
sorte	nf				
sortie	nf				
sortilège	nm				
sortir	v				
sortir	nm				
S.O.S.  n. m.	null				
sosie	nm				
sot	nm				
sottement	adj				
sottise	nf				
sou	nm				
souahéli	null				
soubassement	nm				
soubresaut	nm				
soubrette	nf				
souche	nf				
souci	nm				
soucier (se)	null				
soucieusement	adj				
soucieux	adj				
soucoupe	nf				
soudage	nm				
soudain	adj				
soudainement	adj				
soudaineté	nf				
soudanais	nm				
souder	v				
soudeur	nm				
soudoyer	v				
soudure	nf				
soue	nf				
souffle	nm				
soufflé	nm				
souffler	v				
soufflet	nm				
souffleter	v				
souffleur	nm				
souffrance	nf				
souffrant	adj				
souffre-douleur	nm				
souffreteux	adj				
souffrir	v				
soufre	nm				
soufrière	nf				
souhait	nm				
souhaitable	adj				
souhaiter	v				
souiller	v				
souillure	nf				
souk	nm				
soul	adj				
soulagement	nm				
soulager	v				
soulaud	nm				
souler	v				
soulerie	nf				
soulèvement	nm				
soulever	v				
soulier	nm				
soulignage	nm				
souligner	v				
soumettre	v				
soumis	adj				
soumission	nf				
soumissionnaire	nm				
soumissionner	v				
soupape	nf				
soupçon	nm				
soupçonner	v				
soupçonneux	adj				
soupe	nf				
souper	nm				
souper	vi				
soupeser	v				
soupière	nf				
soupir	nm				
soupirail	nm				
soupirant	nm				
soupirer	v				
souple	adj				
souplesse	nf				
source	nf				
sourcier	nm				
sourcil	nm				
sourcilier	adj				
sourciller	vi				
sourd	nm				
sourdement	adj				
sourdine	nf				
sourd-muet	nm				
sourdre	vi				
souriant	adj				
souriceau	nm				
souricière	nf				
sourire	v				
sourire	nm				
souris	nf				
sournois	adj				
sournoisement	adj				
sournoiserie	nf				
sous	null				
sous-	null				
sous-alimentation	nf				
sous-alimenté	adj				
sous-bois	nm				
souscripteur	nm				
souscription	nf				
souscrire	v				
sous-développé	adj				
sous-développement	nm				
sous-emploi	nm				
sous-ensemble	nm				
sous-entendre	v				
sous-entendu	nm				
sous-estimer	v				
sous-évaluer	v				
sous-jacent	adj				
sous-locataire	nm				
sous-location	nf				
sous-louer	v				
sous-main	nm				
sous-marin	nm				
sous-multiple	nm				
sous-payer	v				
sous-peuplé	adj				
sous-peuplement	nm				
sous-production	nf				
sous-produit	nm				
soussigné	nm				
sous-sol	nm				
sous-tendre	v				
sous-titre	nm				
sous-titrer	v				
soustraction	nf				
soustraire	v				
sous-traitance	nf				
sous-traitant	nm				
sous-traiter	v				
sous-verre	nm				
sous-vêtement	nm				
sous-virer	vi				
soutane	nf				
soute	nf				
soutenance	nf				
soutènement	nm				
souteneur	nm				
soutenir	v				
soutenu	adj				
souterrain	nm				
soutien	nm				
soutien-gorge	nm				
soutirer	v				
souvenance	nf				
souvenir	null				
souvenir	nm				
souvent	adj				
souverain	nm				
souveraineté	nf				
soviétique	nm				
soyeux	adj				
spacieux	adj				
spaghetti	nm				
sparadrap	nm				
spasme	nm				
spasmodique	adj				
spatial	adj				
spatio-temporel	adj				
spatule	nf				
speaker	nm				
special	adj				
specialement	adj				
specialisation	nf				
specialiser	v				
specialiste	nm				
specialité	nf				
specieux	adj				
specification	nf				
specificité	nf				
specifier	v				
specifique	adj				
specifiquement	adj				
specimen	nm				
spectacle	nm				
spectaculaire	adj				
spectateur	nm				
spectral	adj				
spectre	nm				
speculateur	nm				
speculatif	adj				
speculation	nf				
speculer	vi				
speculum	nm				
speech	nm				
speléologie	nf				
speléologique	adj				
speléologue	nm				
spermatique	adj				
spermatozoïde	nm				
sperme	nm				
spermicide	nm				
sphere	nf				
spherique	adj				
sphincter	nm				
sphinx	nm				
sphygmomanomètre	nm				
spi	nm				
spinnaker	nm				
spirale	nf				
spiritisme	nm				
spiritualité	nf				
spirituel	nm				
spirituellement	adj				
spiritueux	nm				
spleen	nm				
splendeur	nf				
splendide	adj				
spoliation	nf				
spolier	v				
spongieux	adj				
sponsor	nm				
sponsoring	nm				
sponsoriser	v				
spontané	adj				
spontanéité	nf				
spontanément	adj				
sporadique	adj				
sporadiquement	adj				
spore	nf				
sport	nm				
sportif	nm				
sportivement	adj				
spot	nm				
squale	nm				
square	nm				
squash	nm				
squatter	nm				
squaw	nf				
squelette	nm				
squelettique	adj				
S.S.	null				
St-	null				
stabilisateur	nm				
stabilisation	nf				
stabiliser	v				
stabilité	nf				
stable	adj				
stade	nm				
staff	nm				
stage	nm				
stagflation	nf				
stagiaire	nm				
stagnant	adj				
stagnation	nf				
stagner	vi				
stalactite	nf				
stalagmite	nf				
stalle	nf				
stance	nf				
stand	nm				
standard	nm				
standardisation	nf				
standardiser	v				
standardiste	nm				
stand-by	nm				
standing	nm				
staphylocoque	nm				
star	nf				
starting-block	nm				
starting-gate	nf				
-stat	null				
station	nf				
stationnaire	adj				
stationnement	nm				
stationner	vi				
station-service	nf				
statique	nf				
statisticien	nm				
statistique	nf				
statuaire	nm				
statue	nf				
statuer	vi				
statuette	nf				
statu quo	nm				
stature	nf				
statut	nm				
statutaire	adj				
statutairement	adj				
Ste	null				
steak	nm				
stele	nf				
stellaire	adj				
stencil	nm				
steno	nm				
sten(o)-	null				
stenodactylo	nm				
stenographe	nm				
stenographie	nf				
stenographier	v				
stenographique	adj				
stenose	nf				
stentor	nm				
steppe	nf				
steréo	nf				
steréo-	null				
steréophonie	nf				
steréophonique	adj				
steréotype	nm				
steréotypé	adj				
sterile	adj				
sterilet	nm				
sterilisation	nf				
steriliser	v				
sterilité	nf				
sterling	adj				
sterne	nf				
sternum	nm				
stethoscope	nm				
stigmate	nm				
stigmatisation	nf				
stigmatiser	v				
stimulant	nm				
stimulateur	nm				
stimulation	nf				
stimuler	v				
stimulus	nm				
stipendier	v				
stipulation	nf				
stipuler	v				
stock	nm				
stockage	nm				
stocker	v				
stoicisme	nm				
stoique	adj				
stoiquement	adj				
stomacal	adj				
stomat(o)-	null				
stomatologie	nf				
stomatologiste	nm				
stop	nm				
stoppage	nm				
stopper	v				
stoppeur	nm				
store	nm				
store vénitien	nm				
strabisme	nm				
stradivarius	nm				
strangulation	nf				
strapontin	nm				
strass	nm				
stratagème	nm				
strate	nf				
stratège	nm				
stratégie	nf				
stratégique	adj				
stratification	nf				
stratifié	nm				
strato-cumulus	nm				
stratosphère	nf				
stratosphérique	adj				
stratus	nm				
streptocoque	nm				
stress	nm				
stressant	adj				
stresser	v				
strict	adj				
strictement	adj				
stricto sensu	adj				
strident	adj				
stridulation	nf				
striduler	vi				
strie	nf				
strié	adj				
strier	v				
stripping	nm				
strip-tease	nm				
strobo-	null				
stroboscope	nm				
stroboscopie	nf				
strophe	nf				
structural	adj				
structuralisme	nm				
structuraliste	nm				
structuration	nf				
structure	nf				
structuré	adj				
structurel	adj				
structurer	v				
strychnine	nf				
stuc	nm				
studieusement	adj				
studieux	adj				
studio	nm				
stupéfaction	nf				
stupéfait	adj				
stupéfiant	nm				
stupéfier	v				
stupeur	nf				
stupide	adj				
stupidement	adj				
stupidité	nf				
stupre	nm				
style	nm				
stylé	adj				
stylicien	nm				
stylique	nf				
stylisation	nf				
styliser	v				
stylisme	nm				
styliste	nm				
stylistique	nf				
stylo	nm				
stylographe	nm				
su	nm				
suaire	nm				
suave	adj				
suavement	adj				
suavité	nf				
sub-	null				
subalterne	nm				
subconscient	nm				
subdiviser	v				
subdivision	nf				
subir	v				
subit	adj				
subitement	adj				
subito	adj				
subjectif	adj				
subjectivement	adj				
subjectivité	nf				
subjonctif	null				
subjuguer	v				
sublimation	nf				
sublime	nm				
sublimer	v				
subliminal	adj				
sublingual	adj				
submerger	v				
submersible	nm				
subodorer	v				
subordination	nf				
subordonné	nm				
subordonner	v				
subornation	nf				
suborner	v				
subreptice	adj				
subrepticement	adj				
subséquement	adj				
subside	nm				
subsidiaire	adj				
subsidiairement	adj				
subsistance	nf				
subsister	vi				
subsonique	adj				
substance	nf				
substantiel	adj				
substantif	nm				
substantifique	adj				
substantivement	adj				
substantiver	v				
substituer	v				
substitut	nm				
substitution	nf				
substrat	nm				
subterfuge	nm				
subtil	adj				
subtilement	adj				
subtiliser	v				
subtilité	nf				
subtropical	adj				
suburbain	adj				
subvenir	v				
subvention	nf				
subventionner	v				
subversif	adj				
subversion	nf				
suc	nm				
succédané	nm				
succéder	v				
succès	nm				
successeur	nm				
successif	adj				
succession	nf				
successivement	adj				
successoral	adj				
succinct	adj				
succinctement	adj				
succion	nf				
succomber	v				
succulent	adj				
succursale	nf				
sucer	v				
sucette	nf				
sucon	nm				
sucre	nm				
sucré	adj				
sucrer	v				
sucrerie	nf				
sucrier	nm				
sud	nm				
sud-africain	nm				
sud-américain	nm				
sudation	nf				
sud-coréen	nm				
sudorifique	nm				
sudoripare	adj				
suede	nm				
suedois	nm				
suee	nf				
suer	v				
sueur	nf				
suffire	v				
suffisamment	adj				
suffisance	nf				
suffisant	adj				
suffixal	adj				
suffixation	nf				
suffixe	nm				
suffocant	adj				
suffocation	nf				
suffoquer	v				
suffrage	nm				
suffragette	nf				
suggérer	v				
suggestif	adj				
suggestion	nf				
suicidaire	nm				
suicide	nm				
suicider (se)	null				
suie	nf				
suif	nm				
suintement	nm				
suinter	vi				
suisse	nm				
suite	nf				
suivant	nm				
suivi	nm				
suivre	v				
sujet	nm				
sujetion	nf				
sulfureux	adj				
sultan	nm				
sultanat	nm				
sumerien	adj				
summum	nm				
sunnisme	nm				
sunnite	nm				
super	nm				
super	adj				
super-	null				
superbe	nf				
superbement	adj				
supercarburant	nm				
supercherie	nf				
superfétatoire	adj				
superficie	nf				
superficiel	adj				
superficiellement	adj				
superfin	adj				
superflu	nm				
superieur	nm				
superieurement	adj				
superiorité	nf				
superlatif	nm				
supermarché	nm				
supernova	nf				
superposable	adj				
superposer	v				
superposition	nf				
superproduction	nf				
superpuissance	nf				
supersonique	nm				
superstitieusement	adj				
superstitieux	adj				
superstition	nf				
superstructure	nf				
superviser	v				
superviseur	nm				
supervision	nf				
supplanter	v				
suppléant	nm				
suppléer	v				
supplément	nm				
supplémentaire	adj				
supplication	nf				
supplice	nm				
supplicier	v				
supplier	v				
supplique	nf				
support	nm				
supportable	adj				
supporter	v				
supporter	nm				
supposé	adj				
supposer	v				
supposition	nf				
suppositoire	nm				
suppôt	nm				
suppression	nf				
supprimer	v				
suppurer	vi				
supputation	nf				
supputer	v				
supra	adj				
supra-	null				
supraconducteur	adj				
supraconduction	nf				
supraterrestre	adj				
suprématie	nf				
suprême	nm				
sur	null				
sur-	null				
sur	adj				
sur	adj				
surabondance	nf				
surabondant	adj				
surabonder	vi				
surajouter	v				
suralimentation	nf				
suralimenter	v				
suranné	adj				
surboum	nf				
surcharge	nf				
surcharger	v				
surchauffe	nf				
surchauffer	v				
surclasser	v				
surcroît	nm				
surdose	nf				
surdoué	nm				
sureau	nm				
surelévation	nf				
surelever	v				
surement	adj				
suremploi	nm				
surenchère	nf				
surenchérir	vi				
surestimation	nf				
surestimer	v				
suret	adj				
sureté	nf				
surevaluation	nf				
surevaluer	v				
surexcitation	nf				
surexciter	v				
surexposer	v				
surexposition	nf				
surf	nm				
surface	nf				
surfaire	v				
surfait	adj				
surgélation	nf				
surgelé	nm				
surgeler	v				
surgir	vi				
surhomme	nm				
surhumain	adj				
surimpression	nf				
surir	vi				
surjet	nm				
surjeter	v				
sur-le-champ	adj				
surlendemain	nm				
surmenage	nm				
surmener	v				
surmoi	nm				
surmonter	v				
surnager	vi				
surnaturel	nm				
surnom	nm				
surnombre	nm				
surnommer	v				
surnuméraire	nm				
suroît	nm				
surpasser	v				
surpeuplé	adj				
surpeuplement	nm				
surplace	nm				
surplomb	nm				
surplomber	v				
surplus	nm				
surpopulation	nf				
surprenant	adj				
surprendre	v				
surprise	nf				
surprise-partie	nf				
surréalisme	nm				
surréaliste	nm				
surrénal	nf				
sursaut	nm				
sursauter	vi				
surseoir	v				
sursis	nm				
surtaxe	nf				
surtaxer	v				
surtout	adj				
surveillance	nf				
surveillant	nm				
surveiller	v				
survenir	vi				
survêtement	nm				
survie	nf				
survirage	nm				
survirer	vi				
survivance	nf				
survivant	nm				
survivre	v				
survol	nm				
survoler	v				
survolter	v				
sus	adj				
sus-	null				
susceptibilité	nf				
susceptible	adj				
susciter	v				
suscription	nf				
susdit	nm				
susmentionné	nm				
susnommé	nm				
suspect	nm				
suspecter	v				
suspendre	v				
suspens	nm				
suspense	nm				
suspension	nf				
suspicieux	adj				
suspicion	nf				
sustenter	v				
susurrement	nm				
susurrer	v				
suture	nf				
suturer	v				
svelte	adj				
sveltesse	nf				
S.V.P.	null				
swahili	nm				
swap	nm				
sweater	nm				
sweat-shirt	nm				
sybarite	nm				
sycomore	nm				
syllabe	nf				
syllabique	adj				
syllogisme	nm				
sylphe	nm				
sylphide	nf				
sylvaner	nm				
sylvestre	adj				
sylv(i)-	null				
sylvicole	adj				
sylviculteur	nm				
sylviculture	nf				
symbiose	nf				
symbole	nm				
symbolique	nf				
symboliser	v				
symbolisme	nm				
symboliste	nm				
symetrie	nf				
symetrique	adj				
sympa	adj				
sympathie	nf				
sympathique	adj				
sympathisant	nm				
sympathiser	vi				
symphonie	nf				
symphonique	adj				
symposium	nm				
symptomatique	adj				
symptôme	nm				
syn-	null				
synagogue	nf				
synallagmatique	adj				
synchrone	adj				
synchronie	nf				
synchronique	adj				
synchronisation	nf				
synchroniser	v				
synchronisme	nm				
syncope	nf				
syncopé	adj				
syndic	nm				
syndical	adj				
syndicalisme	nm				
syndicaliste	nm				
syndicat	nm				
syndiqué	nm				
syndiquer	v				
syndrome	nm				
synecdoque	nf				
synergie	nf				
synergique	adj				
synode	nm				
synonyme	nm				
synonymie	nf				
synopsis	nm				
synoptique	adj				
synovial	nf				
synovie	nf				
syntagmatique	nf				
syntagme	nm				
